Timestamp,¿A qué campus perteneces?,¿A qué sección perteneces?,¿Cuál es tu edad? Ingresa sólo el número.,¿Cuál es tu estatura en centímetros? Ingresa sólo el número.,¿Qué estilo alimenticio tienes?,¿A qué distancia de la Universidad (en kilómetros) vives actualmente? Ingresa sólo el número. Puedes usar https://maps.google.com para estimar la distancia.,¿Cuál es el sistema operativo de tu teléfono celular?,¿Cuántas veces te bañas a la semana?,¿Has sido contagiado de COVID-19?,¿Cuál es tu postura frente al deporte obligatorio en la UAI?,¿Con qué religión te identificas?,¿Qué tan de acuerdo estás con los siguiente temas? [Aborto libre],¿Qué tan de acuerdo estás con los siguiente temas? [Eutanasia legal],¿Qué tan de acuerdo estás con los siguiente temas? [Matrimonio igualitario],¿Qué tan de acuerdo estás con los siguiente temas? [Legalización del cannabis],¿Qué tan de acuerdo estás con los siguiente temas? [Educación gratuita],¿Qué tan de acuerdo estás con los siguiente temas? [Nueva Constitución para Chile]
3/20/2023 8:48:55,Viña,4,22,177,Vegetariano,12,iOS (Apple),8 o más,No,5,Otra Religión,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,,De acuerdo,De acuerdo
3/19/2023 17:28:57,Viña,3,28,154,Vegetariano,10 km,iOS (Apple),8 o más,No,5,Agnóstico,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
3/21/2023 14:15:27,Santiago,13,22,"1,76",Vegano,14km,iOS (Apple),6,Sí,3,Otra Religión,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
8/5/2022 16:28:16,Santiago,1,18,175,Pescetariano,8,iOS (Apple),7,No,4,Ateo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo
8/6/2022 0:12:10,Santiago,1,18,180,Pescetariano,12,iOS (Apple),7,No,5,Ateo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
3/20/2023 22:15:00,Santiago,5,18,158,Pescetariano,15,Android,5,Sí,3,Agnóstico,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/21/2023 1:02:31,Santiago,7,18,"1,78 cm ",Pescetariano,16 km,HarmonyOS (Huawei),6,No,3,Evangélica,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/21/2023 10:38:15,Santiago,10,18,168,Pescetariano,5.1,iOS (Apple),7,No,5,Ateo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
8/7/2022 14:15:05,Santiago,1,19,170,Pescetariano,12 km,iOS (Apple),6,No,5,Prefiero no responder,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo
3/19/2023 13:58:14,Santiago,3,19,176,Pescetariano,19,iOS (Apple),5,Sí,5,Evangélica,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/18/2023 15:20:01,Viña,2,18,"1,57",Pescetariano,"26,3",iOS (Apple),8 o más,Sí,5,Agnóstico,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/20/2023 15:26:08,Viña,5,18,168,Pescetariano,10,iOS (Apple),8 o más,Sí,4,Ateo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo
3/20/2023 8:53:05,Viña,4,20,"1,58",Pescetariano,9,iOS (Apple),6,Sí,5,Católica,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo
3/21/2023 14:08:38,Santiago,11,17,1.73,Otro,,Android,8 o más,No,4,Católica,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo
8/5/2022 19:16:03,Santiago,1,18,159,Otro,"5,6",iOS (Apple),7,Sí,4,Católica,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo
8/5/2022 23:45:45,Santiago,1,18,1.8,Otro,20,iOS (Apple),7,Sí,2,Católica,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
8/7/2022 19:20:30,Santiago,1,18,178,Otro,23,iOS (Apple),8 o más,No,3,Prefiero no responder,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo
3/18/2023 13:15:06,Santiago,2,18,155,Otro,11,iOS (Apple),6,No,4,Católica,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/19/2023 13:16:32,Santiago,2,18,181,Otro,45,iOS (Apple),8 o más,No,5,Católica,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo
3/19/2023 16:22:38,Santiago,3,18,171,Otro,42,Android,7,No,5,Ateo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
3/19/2023 20:06:48,Santiago,3,18,"1,57",Otro,10km,iOS (Apple),8 o más,No,5,Católica,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/20/2023 12:25:17,Santiago,4,18,1.72,Otro,11.2,iOS (Apple),8 o más,Sí,4,Católica,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/21/2023 14:08:48,Santiago,11,18,58,Otro,13,iOS (Apple),8 o más,Sí,5,Judía,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
8/7/2022 21:59:11,Santiago,1,19,187,Otro,45,iOS (Apple),8 o más,No,2,Católica,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo
3/17/2023 17:35:44,Santiago,1,19,176,Otro,12,iOS (Apple),8 o más,No,5,Católica,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/19/2023 13:24:19,Santiago,2,19,"1,58",Otro,Ñuñoa,iOS (Apple),8 o más,Sí,5,Católica,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo
3/20/2023 12:39:56,Santiago,4,19,176,Otro,12,iOS (Apple),8 o más,No,5,Católica,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/21/2023 14:15:39,Santiago,13,19,"1,60",Otro,2km,iOS (Apple),7,No,4,Agnóstico,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo
8/7/2022 10:45:15,Santiago,1,20,185,Otro,15,iOS (Apple),8 o más,No,5,Católica,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
3/18/2023 13:19:47,Viña,2,18,"1,78",Otro,19,iOS (Apple),8 o más,No,5,Católica,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
3/19/2023 16:29:57,Viña,3,19,180,Otro,10,iOS (Apple),7,Sí,5,Católica,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo
3/18/2023 15:10:24,Viña,2,21,156,Otro,14,Android,5,Sí,5,Prefiero no responder,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/20/2023 13:18:41,Santiago,5,17,160,Omnívoro,"5,3",iOS (Apple),5,No,5,Agnóstico,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo
3/20/2023 22:52:52,Santiago,5,17,176,Omnívoro,40,iOS (Apple),8 o más,Sí,5,Ateo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo
3/20/2023 23:16:44,Santiago,5,17,180,Omnívoro,,iOS (Apple),7,Sí,5,Prefiero no responder,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo
3/21/2023 10:42:26,Santiago,10,17,"1,60",Omnívoro,"7,6 ",Android,7,Sí,4,Ateo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
3/21/2023 11:02:31,Santiago,10,17,181,Omnívoro,21,iOS (Apple),8 o más,No,5,Católica,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo
8/4/2022 18:45:50,Santiago,1,18,1.54,Omnívoro,"10,3",iOS (Apple),7,Sí,3,Católica,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
8/4/2022 18:57:20,Santiago,1,18,176,Omnívoro,50,iOS (Apple),7,Sí,3,Católica,En desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
8/5/2022 11:11:38,Santiago,1,18,179,Omnívoro,13,Android,7,No,3,Católica,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo
8/5/2022 15:26:03,Santiago,1,18,168,Omnívoro,12,iOS (Apple),8 o más,No,1,Católica,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
8/5/2022 15:26:23,Santiago,1,18,161,Omnívoro,"9,2",iOS (Apple),5,Sí,5,Ateo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo
8/5/2022 15:27:51,Santiago,1,18,1.78,Omnívoro,5,iOS (Apple),8 o más,No,3,Agnóstico,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
8/5/2022 15:41:15,Santiago,1,18,191,Omnívoro,17,Android,8 o más,Sí,3,Católica,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
8/5/2022 15:49:16,Santiago,1,18,168,Omnívoro,15,iOS (Apple),5,Sí,2,Católica,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo
8/5/2022 15:53:10,Santiago,1,18,175,Omnívoro,17 km,iOS (Apple),7,Sí,5,Católica,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
8/5/2022 20:35:12,Santiago,1,18,154,Omnívoro,7,Android,7,No,4,Católica,De acuerdo,De acuerdo,De acuerdo,De acuerdo,,De acuerdo
8/6/2022 16:44:58,Santiago,1,18,160,Omnívoro,11,iOS (Apple),7,No,5,Católica,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
8/6/2022 17:00:01,Santiago,1,18,187,Omnívoro,18,iOS (Apple),8 o más,No,5,Católica,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,En desacuerdo
8/6/2022 18:52:39,Santiago,1,18,160,Omnívoro,11,iOS (Apple),8 o más,Sí,5,Católica,,,,,,
8/6/2022 21:13:45,Santiago,1,18,"1,75",Omnívoro,"9,2",iOS (Apple),6,Sí,5,Evangélica,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo
8/6/2022 21:27:23,Santiago,1,18,15800,Omnívoro,11,iOS (Apple),7,Sí,4,Ateo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
8/6/2022 23:58:44,Santiago,1,18,184,Omnívoro,22.5 KM,iOS (Apple),7,No,4,Testigos de Jehová,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo
8/7/2022 10:38:36,Santiago,1,18,165,Omnívoro,36,iOS (Apple),5,No,5,Católica,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo
8/7/2022 13:18:58,Santiago,1,18,173,Omnívoro,10,Android,8 o más,No,3,Agnóstico,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
8/7/2022 17:38:33,Santiago,1,18,"1,78",Omnívoro,17km,iOS (Apple),8 o más,No,3,Católica,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,En desacuerdo
8/7/2022 18:53:30,Santiago,1,18,175,Omnívoro,13,iOS (Apple),8 o más,Sí,4,Católica,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
8/7/2022 21:26:22,Santiago,1,18,184,Omnívoro,2 o 1,iOS (Apple),7,Sí,4,Prefiero no responder,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo
8/7/2022 23:17:18,Santiago,1,18,168,Omnívoro,11 km ,iOS (Apple),8 o más,Sí,5,Católica,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo
8/7/2022 23:25:01,Santiago,1,18,168,Omnívoro,15,iOS (Apple),5,Sí,2,Católica,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo
8/7/2022 23:28:51,Santiago,1,18,185,Omnívoro,9,iOS (Apple),7,No,4,Católica,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo
8/8/2022 11:57:14,Santiago,1,18,181,Omnívoro,15,iOS (Apple),8 o más,Sí,1,Ateo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
8/8/2022 21:26:38,Santiago,1,18,1.78,Omnívoro,21,iOS (Apple),8 o más,No,4,Prefiero no responder,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
3/17/2023 17:15:05,Santiago,1,18,181,Omnívoro,5,Android,1,Sí,1,Católica,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/17/2023 17:19:02,Santiago,1,18,187,Omnívoro,11,Android,7,No,5,Agnóstico,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo
3/17/2023 17:25:10,Santiago,1,18,183,Omnívoro,7.9,iOS (Apple),8 o más,No,5,Agnóstico,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo
3/17/2023 18:25:41,Santiago,1,18,180,Omnívoro,10km,iOS (Apple),8 o más,Sí,3,Católica,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,De acuerdo
3/17/2023 19:00:16,Santiago,1,18,175,Omnívoro,26,iOS (Apple),8 o más,No,5,Católica,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
3/17/2023 19:13:37,Santiago,1,18,165,Omnívoro,"24,3",iOS (Apple),5,Sí,3,Católica,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
3/17/2023 19:36:55,Santiago,1,18,175,Omnívoro,25,Android,6,No,3,Agnóstico,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
3/17/2023 19:41:01,Santiago,1,18,170,Omnívoro,10km,iOS (Apple),7,Sí,4,Católica,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo
3/17/2023 19:42:04,Santiago,1,18,"1,69",Omnívoro,"8,9",iOS (Apple),4,No,3,Prefiero no responder,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/17/2023 19:45:36,Santiago,1,18,"1,82",Omnívoro,"11,7 ",iOS (Apple),8 o más,No,3,Católica,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/17/2023 20:56:08,Santiago,1,18,"1,60",Omnívoro,11,iOS (Apple),7,Sí,3,Ateo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo
3/17/2023 20:58:51,Santiago,1,18,170,Omnívoro,12,Android,8 o más,Sí,4,Agnóstico,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
3/17/2023 21:22:57,Santiago,1,18,165,Omnívoro,13 kilómetros ,Android,8 o más,Sí,5,Prefiero no responder,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo
3/17/2023 21:30:52,Santiago,1,18,163,Omnívoro,14 km ,iOS (Apple),7,Sí,2,Católica,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo
3/17/2023 21:38:11,Santiago,1,18,"1,60",Omnívoro,,iOS (Apple),7,No,5,Católica,,,,,,
3/17/2023 21:40:49,Santiago,2,18,1.63,Omnívoro,6km,iOS (Apple),7,Sí,5,Prefiero no responder,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo
3/17/2023 23:17:38,Santiago,2,18,1.71,Omnívoro,11km aprox,Android,7,No,4,Otra Religión,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/18/2023 10:37:07,Santiago,2,18,"1,62",Omnívoro,10,iOS (Apple),7,No,5,Católica,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo
3/18/2023 11:17:01,Santiago,2,18,164,Omnívoro,40,iOS (Apple),7,No,3,Católica,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
3/18/2023 16:31:13,Santiago,2,18,163,Omnívoro,8,Android,5,Sí,5,Ateo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
3/18/2023 17:40:32,Santiago,2,18,163cm,Omnívoro,21km,iOS (Apple),4,Sí,5,Ateo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
3/18/2023 19:06:44,Santiago,2,18,172,Omnívoro,12,iOS (Apple),8 o más,Sí,5,Prefiero no responder,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo
3/18/2023 22:36:48,Santiago,2,18,"1,65",Omnívoro,"9,4",iOS (Apple),6,No,5,Ateo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
3/19/2023 10:15:08,Santiago,2,18,167,Omnívoro,20,iOS (Apple),7,Sí,5,Católica,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo
3/19/2023 11:09:52,Santiago,2,18,168,Omnívoro,20km,iOS (Apple),7,No,3,Otra Religión,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo
3/19/2023 12:47:51,Santiago,2,18,"1,80",Omnívoro,4.2 km,iOS (Apple),8 o más,Sí,5,Católica,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/19/2023 13:20:26,Santiago,2,18,167,Omnívoro,11 km ,iOS (Apple),8 o más,Sí,5,Católica,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo
3/19/2023 13:21:27,Santiago,2,18,170,Omnívoro,7.8,iOS (Apple),7,Sí,4,Católica,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo
3/19/2023 13:22:08,Santiago,2,18,1.7,Omnívoro,"30,4",iOS (Apple),7,No,1,Católica,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo
3/19/2023 13:23:13,Santiago,2,18,171,Omnívoro,26 km,Android,5,Sí,5,Católica,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo
3/19/2023 13:31:28,Santiago,2,18,159,Omnívoro,11km,Android,7,No,4,Prefiero no responder,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo
3/19/2023 13:34:54,Santiago,2,18,175,Omnívoro,,Android,7,No,5,Ateo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo
3/19/2023 13:37:28,Santiago,2,18,176,Omnívoro,10,iOS (Apple),8 o más,Sí,4,Católica,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
3/19/2023 13:57:08,Santiago,3,18,174,Omnívoro,12,iOS (Apple),8 o más,Sí,2,Agnóstico,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo
3/19/2023 14:06:59,Santiago,3,18,182,Omnívoro,5,iOS (Apple),8 o más,Sí,5,Católica,En desacuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo
3/19/2023 14:11:07,Santiago,3,18,161,Omnívoro,8.9,iOS (Apple),8 o más,No,5,Católica,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
3/19/2023 14:17:37,Santiago,3,18,157,Omnívoro,17,iOS (Apple),7,No,4,Católica,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo
3/19/2023 14:36:28,Santiago,3,18,186,Omnívoro,3km,Android,8 o más,Sí,2,Católica,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo
3/19/2023 15:22:53,Santiago,3,18,1.68,Omnívoro,8,iOS (Apple),8 o más,Sí,4,Católica,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo
