Timestamp,¿Cuál es tu edad? Ingresa sólo el número.,¿Cuál es tu estatura en centímetros? Ingresa sólo el número.,¿Cuántos hermanos y hermanas tienes? Ingresa sólo el número (0 si eres hijo/a único/a).,¿En qué comuna vives actualmente?,¿Cuántos minutos demoras habitualmente en llegar a la universidad? Ingresa sólo el número.,¿Cómo llegas principalmente a la universidad?,¿Cuántas horas dormiste anoche? Ingresa sólo el número.,"¿Cuántas horas al día usas redes sociales, aproximadamente? Ingresa sólo el número.",¿Cuál es el sistema operativo de tu teléfono celular?,¿Cuántas tazas de café tomas al día? Ingresa sólo el número (0 si no tomas café).,¿Cuánta experiencia previa tienes programando?,¿Sobre qué dominio te gustaría que tratara tu proyecto del semestre?,¿Qué tan de acuerdo estás con las siguientes afirmaciones? [Un gráfico puede mentir sin mostrar un solo dato falso],¿Qué tan de acuerdo estás con las siguientes afirmaciones? [Me interesa aprender a programar],¿Qué tan de acuerdo estás con las siguientes afirmaciones? [Los datos públicos en Chile son fáciles de encontrar],¿Qué tan de acuerdo estás con las siguientes afirmaciones? [Me siento cómodo/a hablando en público sobre mis resultados]
9/08/2026 14:16:39,18,"1,66",3,Colina,62,Micro o bus,7.7,1.8,iOS (Apple),0,Sé usar Excel o Google Sheets,Educación,Muy de acuerdo,Muy de acuerdo,En desacuerdo,De acuerdo
9/08/2026 13:27:32,19,160,3,Peñalolén,10,Caminando,6.4,2.7,Android,3,Sé usar Excel o Google Sheets,Transporte,De acuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo
9/08/2026 14:17:21,19,172,1,La Reina,15,Bicicleta o scooter,7.4,2.9,Android,0,Sé usar Excel o Google Sheets,Cultura,De acuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo
9/08/2026 18:49:59,20,154,2,Lo Barnechea,32,Auto,5.2,4.9,iOS (Apple),3,Sé usar Excel o Google Sheets,Vivienda,De acuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo
10/08/2026 21:49:51,18,149,2,Maipú,43,Metro,6.7,4.6,iOS (Apple),0,"Ninguna, esta es mi primera vez",Empleo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
9/08/2026 09:09:21,18,189,3,Lo Barnechea,35,Metro,6.1,2.6,iOS (Apple),0,"Ninguna, esta es mi primera vez",Cultura,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
10/08/2026 18:42:21,19,163,3,Providencia,67,Micro o bus,7.5,2.4,iOS (Apple),2,"Ninguna, esta es mi primera vez",Deporte,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
9/08/2026 17:03:52,19,165 cm,4,Ñuñoa,33,Auto,6.2,2.5,Android,4,Sé usar Excel o Google Sheets,Deporte,De acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo
9/08/2026 20:16:55,18,150,1,Santiago,28,Auto,4.4,7.1,iOS (Apple),1,"Ninguna, esta es mi primera vez",Empleo,Muy de acuerdo,De acuerdo,En desacuerdo,De acuerdo
10/08/2026 13:41:25,18,"1,53",1,Macul,36,Metro,6.8,1.9,Android,2,"Ninguna, esta es mi primera vez",Vivienda,De acuerdo,De acuerdo,De acuerdo,En desacuerdo
10/08/2026 10:29:10,20,1.69,0,La Florida,43,Metro,7.6,4.7,iOS (Apple),1,Sé usar Excel o Google Sheets,Deporte,De acuerdo,De acuerdo,De acuerdo,En desacuerdo
9/08/2026 15:00:03,18,177,1,La Cisterna,39,Auto,6.2,4.0,Android,1,"Ninguna, esta es mi primera vez",Salud,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
10/08/2026 19:27:29,20,176,1,Colina,7,Caminando,6.7,2.6,Android,2,"Ninguna, esta es mi primera vez",Educación,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
9/08/2026 18:27:12,19,186,2,Santiago,29,Micro o bus,7.1,2.9,iOS (Apple),1,He programado un poco alguna vez,Transporte,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
10/08/2026 15:24:38,18,166,2,La Reina,29,Auto,7.3,1.4,Android,1,Sé usar Excel o Google Sheets,Educación,Muy de acuerdo,De acuerdo,Muy en desacuerdo,Muy en desacuerdo
