encuesta,anio,mes,sexo,edad,edad_tramo,anios_escolaridad,gse,zona,region,problema_1,problema_2,problema_3,sit_econ_pais,sit_econ_pais_futuro,sit_econ_propia,sit_econ_propia_futuro,chile_hoy,aprueba_presidente,posicion_politica,partido,religion,asiste_iglesia,personas_hogar,ponderador
29,1994,12,Hombre,58.0,,17.0,C3,Urbano,Los Lagos,Pobreza,"Alzas de precios, inflación",Educación,"Ni buena, ni mala",,,Peor,Estancado,No aprueba ni desaprueba,Ninguna,Ninguno,,,,0.7422
29,1994,12,Hombre,57.0,,9.0,C3,Urbano,Los Lagos,"Alzas de precios, inflación","Delincuencia, asaltos y robos",Salud,"Ni buena, ni mala",,,Igual,Estancado,Desaprueba,Centro derecha,Unión Demócrata Independiente,,,,0.7422
29,1994,12,Mujer,27.0,,16.0,C3,Urbano,Los Lagos,Protestas y desórdenes callejeros,"Alzas de precios, inflación",Salud,Muy mala,,,Igual,Estancado,Desaprueba,Ninguna,Ninguno,,,,0.9829
29,1994,12,Mujer,30.0,,15.0,C3,Urbano,Los Lagos,Pobreza,Salud,Sueldos,Mala,,,Mejor,Estancado,Desaprueba,Ninguna,Ninguno,,,,0.9829
29,1994,12,Mujer,35.0,,12.0,ABC1,Urbano,Valparaíso,Educación,Salud,Empleo,"Ni buena, ni mala",,,Mejor,Progresando,Aprueba,Ninguna,Renovación Nacional,,,,0.739
29,1994,12,Hombre,70.0,,15.0,C2,Urbano,Valparaíso,Educación,Pobreza,Protección del medio ambiente,Buena,,,Mucho mejor,Progresando,Aprueba,Centro,Democracia Cristiana,,,,0.7422
29,1994,12,Mujer,35.0,,18.0,C2,Urbano,Valparaíso,"Delincuencia, asaltos y robos",Derechos humanos,Educación,"Ni buena, ni mala",,,Mejor,Estancado,Aprueba,Izquierda,Partido Por la Democracia,,,,0.739
29,1994,12,Hombre,66.0,,12.0,C3,Urbano,Valparaíso,Salud,Vivienda,"Alzas de precios, inflación","Ni buena, ni mala",,,Igual,Progresando,Desaprueba,Centro,Unión Demócrata Independiente,,,,0.7422
29,1994,12,Hombre,54.0,,16.0,C2,Urbano,Valparaíso,Corrupción,Derechos humanos,Pobreza,"Ni buena, ni mala",,,Mucho mejor,Progresando,Desaprueba,Centro izquierda,Partido Socialista,,,,0.9727
29,1994,12,Mujer,48.0,,12.0,C3,Urbano,Valparaíso,Vivienda,Salud,Empleo,"Ni buena, ni mala",,,Mejor,Progresando,Aprueba,Derecha,Democracia Cristiana,,,,1.0482
29,1994,12,Hombre,20.0,,15.0,D,Urbano,Valparaíso,Pobreza,Corrupción,Educación,"Ni buena, ni mala",,,Mejor,Progresando,Aprueba,Centro izquierda,Democracia Cristiana,,,,1.2204
29,1994,12,Mujer,32.0,,16.0,ABC1,Urbano,Maule,Salud,"Delincuencia, asaltos y robos",Empleo,Buena,,,Mucho mejor,Estancado,Aprueba,Ninguna,Ninguno,,,,0.9829
29,1994,12,Mujer,77.0,,13.0,C3,Rural,O'Higgins,"Delincuencia, asaltos y robos",Pobreza,"Alzas de precios, inflación","Ni buena, ni mala",,,Igual,Estancado,Desaprueba,Independiente,Ninguno,,,,1.0166
29,1994,12,Hombre,47.0,,6.0,D,Rural,O'Higgins,Sueldos,Salud,Pobreza,Buena,,,Igual,Progresando,Aprueba,Derecha,Partido Radical Socialdemócrata,,,,1.2814
29,1994,12,Hombre,47.0,,12.0,C3,Urbano,O'Higgins,Pobreza,"Delincuencia, asaltos y robos",Empleo,"Ni buena, ni mala",,,Mejor,Estancado,Aprueba,Centro derecha,Renovación Nacional,,,,0.9727
29,1994,12,Hombre,80.0,,0.0,C3,Urbano,O'Higgins,Educación,Terrorismo,Salud,"Ni buena, ni mala",,,Peor,En decadencia,Desaprueba,Centro,Union de Centro Centro Progresista,,,,0.7422
29,1994,12,Mujer,49.0,,3.0,E,Rural,O'Higgins,Pobreza,Sueldos,Corrupción,"Ni buena, ni mala",,,Igual,Estancado,No aprueba ni desaprueba,Ninguna,Renovación Nacional,,,,0.65
29,1994,12,Mujer,29.0,,6.0,E,Rural,O'Higgins,"Delincuencia, asaltos y robos",Empleo,Sueldos,"Ni buena, ni mala",,,Igual,Estancado,No aprueba ni desaprueba,Centro,Ninguno,,,,0.789
29,1994,12,Hombre,60.0,,6.0,D,Rural,O'Higgins,"Delincuencia, asaltos y robos",Educación,Corrupción,Mala,,,Mejor,Estancado,Desaprueba,Centro,Renovación Nacional,,,,1.4238
29,1994,12,Hombre,34.0,,15.0,C3,Urbano,Metropolitana,Salud,Pobreza,Empleo,"Ni buena, ni mala",,,Igual,Estancado,Desaprueba,Ninguna,Ninguno,,,,1.3591
29,1994,12,Hombre,34.0,,17.0,C3,Urbano,Metropolitana,"Delincuencia, asaltos y robos",Educación,Salud,Mala,,,Mucho peor,Progresando,Aprueba,Izquierda,Partido Socialista,,,,1.3591
29,1994,12,Mujer,78.0,,12.0,C3,Urbano,Metropolitana,"Delincuencia, asaltos y robos",Derechos humanos,Protestas y desórdenes callejeros,Muy mala,,,Peor,Estancado,No aprueba ni desaprueba,Izquierda,Partido Radical Socialdemócrata,,,,0.9307
29,1994,12,Mujer,49.0,,15.0,C3,Urbano,Metropolitana,Educación,Salud,"Delincuencia, asaltos y robos","Ni buena, ni mala",,,Igual,Progresando,No aprueba ni desaprueba,Centro,Partido Humanista (o AHV),,,,1.0482
29,1994,12,Hombre,39.0,,15.0,D,Urbano,Metropolitana,"Delincuencia, asaltos y robos",Salud,Corrupción,"Ni buena, ni mala",,,Mejor,Progresando,Desaprueba,Centro derecha,Renovación Nacional,,,,0.9761
29,1994,12,Mujer,28.0,,14.0,C3,Urbano,Valparaíso,Pobreza,"Delincuencia, asaltos y robos",Salud,"Ni buena, ni mala",,,Mejor,Estancado,Aprueba,Ninguna,Ninguno,,,,0.9829
29,1994,12,Mujer,49.0,,4.0,D,Urbano,Valparaíso,Vivienda,Empleo,Protestas y desórdenes callejeros,Mala,,,Peor,Estancado,Aprueba,Derecha,Democracia Cristiana,,,,1.0482
29,1994,12,Mujer,37.0,,9.0,D,Urbano,Metropolitana,Pobreza,Sueldos,Vivienda,"Ni buena, ni mala",,,Igual,Progresando,Aprueba,Centro,Democracia Cristiana,,,,0.739
29,1994,12,Hombre,38.0,,9.0,D,Urbano,Metropolitana,Protección del medio ambiente,"Delincuencia, asaltos y robos",Derechos humanos,"Ni buena, ni mala",,,Mejor,Progresando,Aprueba,Centro,Democracia Cristiana,,,,0.9761
29,1994,12,Mujer,63.0,,7.0,C3,Urbano,Metropolitana,Protección del medio ambiente,"Alzas de precios, inflación",Sueldos,"Ni buena, ni mala",,,Igual,Estancado,Aprueba,Centro izquierda,Partido Radical Socialdemócrata,,,,0.9307
29,1994,12,Mujer,31.0,,8.0,C3,Urbano,Maule,Empleo,Pobreza,Salud,"Ni buena, ni mala",,,Mucho mejor,Progresando,Aprueba,Centro,Democracia Cristiana,,,,0.9829
29,1994,12,Hombre,27.0,,15.0,C3,Urbano,Maule,Empleo,Pobreza,Educación,"Ni buena, ni mala",,,Mejor,Progresando,No aprueba ni desaprueba,Centro,Democracia Cristiana,,,,1.3591
29,1994,12,Hombre,38.0,,22.0,C2,Urbano,Valparaíso,Educación,Salud,Protección del medio ambiente,Mala,,,Peor,Estancado,Desaprueba,Derecha,Unión Demócrata Independiente,,,,0.9761
29,1994,12,Mujer,77.0,,11.0,C2,Urbano,Valparaíso,Empleo,Terrorismo,"Delincuencia, asaltos y robos","Ni buena, ni mala",,,Mejor,No sabe,Desaprueba,Ninguna,Ninguno,,,,0.9307
29,1994,12,Mujer,23.0,,11.0,D,Urbano,Valparaíso,Vivienda,Corrupción,Salud,"Ni buena, ni mala",,,Mucho mejor,Progresando,Aprueba,Centro,Partido Humanista (o AHV),,,,1.1521
29,1994,12,Mujer,71.0,,1.0,E,Rural,O'Higgins,Empleo,Salud,Vivienda,Buena,,,Mejor,Progresando,Aprueba,Independiente,No sabe,,,,1.0166
29,1994,12,Mujer,27.0,,11.0,D,Urbano,Metropolitana,Educación,Pobreza,"Delincuencia, asaltos y robos","Ni buena, ni mala",,,Igual,Progresando,No aprueba ni desaprueba,Derecha,Democracia Cristiana,,,,0.9829
29,1994,12,Hombre,49.0,,3.0,D,Rural,Maule,Pobreza,Sueldos,Educación,"Ni buena, ni mala",,,Peor,Estancado,No aprueba ni desaprueba,Ninguna,Ninguno,,,,1.2814
29,1994,12,Hombre,39.0,,15.0,ABC1,Urbano,Maule,Pobreza,Salud,Educación,Muy mala,,,Igual,Estancado,Desaprueba,Centro derecha,Renovación Nacional,,,,0.9761
29,1994,12,Mujer,29.0,,18.0,ABC1,Urbano,Maule,"Delincuencia, asaltos y robos",Educación,Salud,"Ni buena, ni mala",,,Mejor,Estancado,No aprueba ni desaprueba,Independiente,Ninguno,,,,0.9829
29,1994,12,Mujer,41.0,,15.0,ABC1,Urbano,Maule,Pobreza,Salud,Educación,Mala,,,Igual,Progresando,Aprueba,Centro derecha,Democracia Cristiana,,,,0.739
29,1994,12,Mujer,52.0,,1.0,C3,Rural,O'Higgins,Empleo,Salud,Pobreza,"Ni buena, ni mala",,,Peor,Estancado,No aprueba ni desaprueba,Ninguna,Ninguno,,,,0.65
29,1994,12,Mujer,27.0,,11.0,C3,Rural,O'Higgins,Protección del medio ambiente,Pobreza,"Delincuencia, asaltos y robos","Ni buena, ni mala",,,Mucho mejor,Progresando,Aprueba,Centro,Ninguno,,,,0.789
29,1994,12,Hombre,34.0,,6.0,D,Rural,O'Higgins,Pobreza,"Delincuencia, asaltos y robos",Educación,Muy mala,,,Igual,Estancado,Aprueba,Centro izquierda,Partido Por la Democracia,,,,1.042
29,1994,12,Hombre,40.0,,12.0,E,Urbano,O'Higgins,"Delincuencia, asaltos y robos",Salud,Pobreza,"Ni buena, ni mala",,,Igual,Estancado,Aprueba,Derecha,Renovación Nacional,,,,0.9761
29,1994,12,Hombre,64.0,,3.0,D,Urbano,O'Higgins,"Alzas de precios, inflación",Sueldos,"Delincuencia, asaltos y robos","Ni buena, ni mala",,,Mejor,Progresando,Aprueba,Centro derecha,Democracia Cristiana,,,,0.7422
29,1994,12,Mujer,52.0,,8.0,D,Urbano,O'Higgins,Corrupción,Educación,Pobreza,"Ni buena, ni mala",,,Mejor,Progresando,Aprueba,Izquierda,Democracia Cristiana,,,,1.0482
29,1994,12,Mujer,45.0,,10.0,C3,Urbano,Valparaíso,"Delincuencia, asaltos y robos",Protección del medio ambiente,Salud,"Ni buena, ni mala",,,Mejor,Progresando,Aprueba,Centro izquierda,Partido Socialista,,,,1.0482
29,1994,12,Mujer,45.0,,12.0,D,Urbano,Valparaíso,"Delincuencia, asaltos y robos",Salud,Empleo,"Ni buena, ni mala",,,Mejor,No sabe,No sabe,Centro,Ninguno,,,,1.0482
29,1994,12,Mujer,18.0,,11.0,C3,Urbano,Los Lagos,Vivienda,Salud,Educación,"Ni buena, ni mala",,,Mejor,Progresando,Aprueba,Izquierda,Democracia Cristiana,,,,1.1521
29,1994,12,Hombre,45.0,,10.0,C3,Urbano,Valparaíso,"Alzas de precios, inflación",Empleo,Sueldos,"Ni buena, ni mala",,,Mejor,Estancado,Desaprueba,Centro,Democracia Cristiana,,,,0.9727
29,1994,12,Mujer,67.0,,2.0,C3,Urbano,Valparaíso,"Delincuencia, asaltos y robos",Empleo,Pobreza,"Ni buena, ni mala",,,Mejor,Progresando,Aprueba,Centro izquierda,Democracia Cristiana,,,,0.9307
29,1994,12,Mujer,22.0,,18.0,D,Urbano,Valparaíso,"Delincuencia, asaltos y robos",Empleo,Salud,Mala,,,Mucho mejor,Estancado,Desaprueba,Derecha,Renovación Nacional,,,,1.1521
29,1994,12,Mujer,36.0,,8.0,C3,Urbano,Valparaíso,"Delincuencia, asaltos y robos",Corrupción,Educación,"Ni buena, ni mala",,,Mejor,Estancado,No sabe,Centro derecha,Renovación Nacional,,,,0.739
29,1994,12,Mujer,44.0,,10.0,D,Urbano,Valparaíso,Salud,Vivienda,Derechos humanos,"Ni buena, ni mala",,,Mejor,Progresando,Aprueba,Derecha,Democracia Cristiana,,,,0.739
29,1994,12,Mujer,21.0,,8.0,D,Urbano,Valparaíso,Vivienda,Empleo,Pobreza,"Ni buena, ni mala",,,Mejor,Estancado,Aprueba,No sabe,Democracia Cristiana,,,,1.1521
29,1994,12,Mujer,27.0,,11.0,D,Urbano,Metropolitana,"Delincuencia, asaltos y robos",Pobreza,Vivienda,"Ni buena, ni mala",,,Mejor,En decadencia,Aprueba,Derecha,Partido Por la Democracia,,,,0.9829
29,1994,12,Mujer,28.0,,13.0,C3,Urbano,Metropolitana,"Delincuencia, asaltos y robos",Pobreza,Salud,"Ni buena, ni mala",,,Mejor,Progresando,No sabe,Ninguna,Ninguno,,,,0.9829
29,1994,12,Hombre,36.0,,13.0,D,Urbano,Metropolitana,Educación,Empleo,Salud,"Ni buena, ni mala",,,Igual,Progresando,No aprueba ni desaprueba,Centro derecha,Partido Radical Socialdemócrata,,,,0.9761
29,1994,12,Mujer,50.0,,6.0,C3,Urbano,Metropolitana,"Delincuencia, asaltos y robos",Pobreza,"Alzas de precios, inflación","Ni buena, ni mala",,,Peor,Estancado,Aprueba,Derecha,Unión Demócrata Independiente,,,,1.0482
29,1994,12,Mujer,62.0,,9.0,C3,Urbano,Metropolitana,Empleo,Sueldos,Vivienda,Muy mala,,,Igual,Estancado,Desaprueba,Ninguna,Ninguno,,,,0.9307
29,1994,12,Hombre,46.0,,5.0,E,Rural,Maule,Empleo,Sueldos,Vivienda,Mala,,,Mejor,Estancado,Aprueba,Derecha,Democracia Cristiana,,,,1.2814
29,1994,12,Mujer,61.0,,17.0,ABC1,Urbano,Maule,Educación,Protección del medio ambiente,Corrupción,"Ni buena, ni mala",,,Mucho mejor,Progresando,No responde,Centro,Partido Socialista,,,,0.9307
29,1994,12,Mujer,60.0,,3.0,E,Rural,Maule,Salud,Pobreza,"Delincuencia, asaltos y robos",Mala,,,Mucho peor,En decadencia,Aprueba,Izquierda,Democracia Cristiana,,,,1.0166
29,1994,12,Mujer,22.0,,8.0,D,Urbano,Metropolitana,Corrupción,"Delincuencia, asaltos y robos",Educación,"Ni buena, ni mala",,,Peor,Estancado,Desaprueba,Centro izquierda,Partido Por la Democracia,,,,1.1521
29,1994,12,Hombre,36.0,,12.0,D,Urbano,Metropolitana,Salud,Sueldos,Vivienda,"Ni buena, ni mala",,,Igual,Progresando,Aprueba,Centro izquierda,Partido Por la Democracia,,,,0.9761
29,1994,12,Hombre,66.0,,6.0,D,Urbano,Metropolitana,Pobreza,Protección del medio ambiente,Vivienda,Buena,,,Igual,Progresando,Aprueba,Centro izquierda,Partido Socialista,,,,0.7422
29,1994,12,Mujer,70.0,,6.0,C3,Urbano,Metropolitana,Salud,"Alzas de precios, inflación",Corrupción,Mala,,,Igual,En decadencia,Desaprueba,Centro izquierda,Partido Humanista (o AHV),,,,0.9307
29,1994,12,Hombre,46.0,,6.0,C3,Urbano,Metropolitana,Corrupción,"Delincuencia, asaltos y robos",Salud,Muy mala,,,Peor,Estancado,Desaprueba,Derecha,Renovación Nacional,,,,0.9727
29,1994,12,Hombre,30.0,,12.0,E,Urbano,Metropolitana,"Delincuencia, asaltos y robos",Empleo,Salud,Muy mala,,,Mejor,En decadencia,Aprueba,Centro,Democracia Cristiana,,,,1.3591
29,1994,12,Mujer,40.0,,8.0,E,Urbano,Metropolitana,Empleo,"Alzas de precios, inflación","Delincuencia, asaltos y robos",Mala,,,Igual,Progresando,Aprueba,Izquierda,Democracia Cristiana,,,,0.739
29,1994,12,Mujer,19.0,,12.0,C3,Urbano,Metropolitana,Vivienda,Salud,Pobreza,"Ni buena, ni mala",,,Igual,Estancado,Desaprueba,Derecha,No contesta,,,,1.1521
29,1994,12,Mujer,33.0,,12.0,C3,Urbano,Metropolitana,Pobreza,Salud,Educación,"Ni buena, ni mala",,,Mejor,Estancado,Aprueba,Centro izquierda,Democracia Cristiana,,,,0.9829
29,1994,12,Mujer,46.0,,5.0,C2,Urbano,Metropolitana,"Delincuencia, asaltos y robos",Salud,Sueldos,"Ni buena, ni mala",,,Mejor,Estancado,Aprueba,No sabe,Democracia Cristiana,,,,1.0482
29,1994,12,Mujer,32.0,,10.0,D,Urbano,Metropolitana,Salud,"Alzas de precios, inflación",Vivienda,"Ni buena, ni mala",,,Mejor,Progresando,Desaprueba,Derecha,Democracia Cristiana,,,,0.9829
29,1994,12,Mujer,76.0,,0.0,D,Urbano,Metropolitana,Terrorismo,Salud,Protestas y desórdenes callejeros,"Ni buena, ni mala",,,Peor,Progresando,No aprueba ni desaprueba,Izquierda,Partido Socialista,,,,0.9307
29,1994,12,Mujer,69.0,,11.0,C3,Urbano,Metropolitana,Educación,Empleo,Terrorismo,"Ni buena, ni mala",,,Mejor,Estancado,No aprueba ni desaprueba,Independiente,No sabe,,,,0.9307
29,1994,12,Mujer,44.0,,5.0,C3,Urbano,Metropolitana,Educación,Sueldos,Salud,Mala,,,Mejor,Estancado,Aprueba,Centro,Renovación Nacional,,,,0.739
29,1994,12,Mujer,63.0,,3.0,D,Urbano,Metropolitana,Salud,"Alzas de precios, inflación","Delincuencia, asaltos y robos","Ni buena, ni mala",,,Mejor,Progresando,Aprueba,Independiente,Democracia Cristiana,,,,0.9307
29,1994,12,Hombre,43.0,,13.0,D,Urbano,Metropolitana,"Delincuencia, asaltos y robos",Pobreza,Salud,Mala,,,Peor,En decadencia,Desaprueba,Centro derecha,Unión Demócrata Independiente,,,,0.9761
29,1994,12,Mujer,22.0,,8.0,D,Urbano,Metropolitana,Derechos humanos,Empleo,Pobreza,"Ni buena, ni mala",,,Igual,Progresando,Aprueba,Izquierda,Ninguno,,,,1.1521
29,1994,12,Mujer,32.0,,12.0,D,Urbano,Metropolitana,Salud,Educación,Empleo,"Ni buena, ni mala",,,Mejor,Progresando,No aprueba ni desaprueba,Ninguna,Democracia Cristiana,,,,0.9829
29,1994,12,Hombre,60.0,,9.0,D,Urbano,Metropolitana,Vivienda,Sueldos,"Delincuencia, asaltos y robos","Ni buena, ni mala",,,Mejor,Progresando,Aprueba,Centro izquierda,Democracia Cristiana,,,,0.7422
29,1994,12,Mujer,20.0,,10.0,D,Urbano,Metropolitana,Pobreza,Empleo,Vivienda,"Ni buena, ni mala",,,Mejor,Progresando,Aprueba,Centro izquierda,Democracia Cristiana,,,,1.1521
29,1994,12,Mujer,36.0,,8.0,D,Urbano,Metropolitana,"Alzas de precios, inflación",Empleo,Salud,Mala,,,Igual,Estancado,Desaprueba,Izquierda,Democracia Cristiana,,,,0.739
29,1994,12,Mujer,18.0,,12.0,D,Urbano,Metropolitana,Corrupción,Sueldos,Vivienda,"Ni buena, ni mala",,,Mejor,Progresando,Aprueba,Centro izquierda,Unión Demócrata Independiente,,,,1.1521
29,1994,12,Hombre,21.0,,10.0,D,Urbano,Metropolitana,"Delincuencia, asaltos y robos",Pobreza,Protestas y desórdenes callejeros,"Ni buena, ni mala",,,Igual,En decadencia,Desaprueba,Izquierda,Partido Por la Democracia,,,,1.2204
29,1994,12,Mujer,22.0,,12.0,D,Urbano,Metropolitana,"Delincuencia, asaltos y robos",Salud,Educación,Mala,,,Mejor,Estancado,Desaprueba,Izquierda,Democracia Cristiana,,,,1.1521
29,1994,12,Mujer,27.0,,13.0,C3,Urbano,Metropolitana,"Delincuencia, asaltos y robos",Pobreza,Salud,"Ni buena, ni mala",,,Mejor,Estancado,No aprueba ni desaprueba,Derecha,Renovación Nacional,,,,0.9829
29,1994,12,Mujer,36.0,,10.0,C3,Urbano,Metropolitana,"Delincuencia, asaltos y robos",Salud,"Alzas de precios, inflación","Ni buena, ni mala",,,No sabe,Estancado,No aprueba ni desaprueba,Ninguna,Renovación Nacional,,,,0.739
29,1994,12,Mujer,48.0,,8.0,C3,Urbano,Metropolitana,"Alzas de precios, inflación",Vivienda,Protección del medio ambiente,No sabe,,,No sabe,No sabe,No responde,No sabe,Ninguno,,,,1.0482
29,1994,12,Mujer,22.0,,15.0,C3,Urbano,Metropolitana,Protección del medio ambiente,Pobreza,"Delincuencia, asaltos y robos",Buena,,,Mejor,Progresando,Desaprueba,Centro,Partido Humanista (o AHV),,,,1.1521
29,1994,12,Hombre,65.0,,12.0,C3,Urbano,Metropolitana,Corrupción,"Delincuencia, asaltos y robos",Vivienda,Buena,,,Mucho mejor,Progresando,Desaprueba,Centro,Union de Centro Centro Progresista,,,,0.7422
29,1994,12,Mujer,51.0,,6.0,C3,Urbano,Metropolitana,Corrupción,"Alzas de precios, inflación",Empleo,"Ni buena, ni mala",,,Peor,No sabe,No sabe,Ninguna,Ninguno,,,,1.0482
29,1994,12,Mujer,62.0,,6.0,D,Urbano,Metropolitana,Pobreza,"Alzas de precios, inflación","Delincuencia, asaltos y robos","Ni buena, ni mala",,,Mejor,Progresando,Aprueba,Izquierda,Democracia Cristiana,,,,0.9307
29,1994,12,Mujer,54.0,,10.0,C3,Urbano,Metropolitana,"Delincuencia, asaltos y robos",Empleo,Salud,No sabe,,,Mucho peor,En decadencia,Desaprueba,Ninguna,Democracia Cristiana,,,,1.0482
29,1994,12,Mujer,39.0,,10.0,E,Urbano,Metropolitana,Empleo,Salud,Vivienda,"Ni buena, ni mala",,,No sabe,Estancado,Desaprueba,Ninguna,Ninguno,,,,0.739
29,1994,12,Mujer,36.0,,11.0,D,Urbano,Metropolitana,"Alzas de precios, inflación",Educación,Sueldos,Muy mala,,,Mucho mejor,Estancado,Desaprueba,No sabe,Democracia Cristiana,,,,0.739
